id,url,name,phone,homepage,address,city,state,lat,lon,expiry,postdate,provider,down,up,dealtitle,dealinfo,dealoriginalprice,dealprice,dealdiscount,dealsavings,disclaimer,dealsinstore,storeurl,showimage,showimagestandardbig,showimagestandardsmall
14323133,http://www.8coupons.com/apiout/showdeal/deal/14323133/3449003/aff,The Market,415.767.5130,,1355 Market St,San Francisco,CA,37.7768,-122.417,2015-11-25,2015-11-23 05:47:45,Gilt City,,,"Up to 30% Off Sushi Dinners, Groceries, Seafood, Meats & More","Chef-selected dinner for two, which includes an appetizer and nine pieces of sushi/nigiri per person",120,85,29,15,,50,http://www.8coupons.com/discounts/the-market-san-francisco-94103,http://cdn1.gilt.com/images/share/uploads/0000/0005/0428/504281427/orig.jpg,http://www.8coupons.com/image/deal/14323133/featured,http://www.8coupons.com/image/deal/14323133
12868603,http://www.8coupons.com/apiout/showdeal/deal/12868603/3449003/aff,GreenLid&nbsp;,415.926.6794,,1000 Van Ness Ave,San Francisco,CA,37.7851,-122.421,2015-11-25,2015-11-23 04:23:30,Amazon Local,,,$10 to Spend on Salads and Smoothies at GreenLid,"Satisfy your hunger the healthy way with this deal from GreenLid. They specialize in tasty alternatives to the typical fast-food fare, concocting salads, smoothies, and other health foods packed with flavor and nutrients.    $5 for $10 to spend on salads and smoothies  Everything made with leafy, nutrient-rich greens and fruits  Fast and convenient health foods   GreenLid:  Website  |  Menu",10,5,50,5,. ul. li. Limit 2 vouchers per purchaser; additional 2 vouchers may be sent as gifts. /li. li. Limit 1 per customer per visit. /li. li. Valid only at listed location. /li. li. Entire value per voucher must be used in a single visit. br. /li. li. Available for use immediately after purchase. br. /li. li. PROMOTIONAL VALUE EXPIRES 180 DAYS FROM THE PURCHASE DATE. /li. li. PAID VALUE DOES NOT EXPIRE. /li. /ul.,50,http://www.8coupons.com/discounts/greenlid-san-francisco-94109,http://g-ecx.images-amazon.com/images/G/01/ember/deals/a7cd053c95fc9f946a3fc736122bcfa28ef292048f87cd0f0ab4832652c8e13a,http://www.8coupons.com/image/deal/12868603/featured,http://www.8coupons.com/image/deal/12868603
13961935,http://www.8coupons.com/apiout/showdeal/deal/13961935/3449003/aff,Minas Brazilian Restaurant & Cacha&#231;aria,415.626.8727,,41 Franklin St.,San Francisco,CA,37.775,-122.421,2015-11-25,2015-11-23 05:30:33,Travelzoo,,,$39 -- Brazilian Dinner for 2 w/Drinks or Mimosa Brunch ,"Save more than 40% on brunch, or visit for dinner and get free rein of the menu   Authentic Brazilian flavors and entertainment with samba dancers on weekends   Sip a welcome glass of sparkling wine with dinner or a mimosa with brunch   Great shopping in the area; Hayes Valley is a ""haven for haute couture"" (SF Gate)   Through Dec. 31, 2015; Dinner: Sunday-Thursday, Brunch: Sundays only ]].",65,39,40,26,". ![CDATA[Dinner valid Tuesday-Thursday during merchant's dinner hours; brunch valid Sundays only during merchant's brunch hours. Restaurant is closed Mondays. Reservations required; subject to availability. Upon arrival, present printed voucher or display in Travelzoo mobile app. Tax, if applicable, and gratuity are not included. Please tip on the full value; 18-20% is customary for good service. Limit two vouchers per table. Not valid on holidays (call merchant for specific date restrictions). Limit two purchases per person; may buy additional as gifts. If limit is exceeded, voucher subject to forfeiture. ]].",50,http://www.8coupons.com/discounts/minas-brazilian-restaurant-cacha-aria-san-francisco-94102,http://www.tzoo-img.com/images/tzoo.hd.76770.0.182437.Minas.jpg?v=1&width=514,http://www.8coupons.com/image/deal/13961935/featured,http://www.8coupons.com/image/deal/13961935
13935745,http://www.8coupons.com/apiout/showdeal/deal/13935745/3449003/aff,Hotel Biron,415.703.0403,,45 Rose Street,San Francisco,CA,37.7737,-122.422,2015-11-25,2015-11-23 05:30:28,Travelzoo,,,$29 -- &'Best Wine Bar&': Half Off Drinks & Apps for 2,"A ""special Hayes Valley drinking locale"" (SF Weekly)   Gayot describes it as ""romantic and atmospheric""   Rated 4 stars on Yelp   This intimate, candlelit wine bar makes a great date spot   Through Feb. 26, 2016 ]].",58,29,50,29,". ![CDATA[Valid during merchant's operating hours. Seating is first-come, first-served; subject to availability. Upon arrival, present printed voucher or display in Travelzoo mobile app. Tax, if applicable, and gratuity are not included. Please tip on the full value; 18-20% is customary for good service. Not valid on holidays or holiday weekends (call merchant for specific date restrictions). Not valid during special events, such as Restaurant Week. ]].",50,http://www.8coupons.com/discounts/hotel-biron-san-francisco-94102,http://www.tzoo-img.com/images/tzoo.42324.0.341376.HotelBiron.jpg?v=1&width=514,http://www.8coupons.com/image/deal/13935745/featured,http://www.8coupons.com/image/deal/13935745
12673689,http://www.8coupons.com/apiout/showdeal/deal/12673689/3449003/aff,Butter,415.863.5964,,354 11th St,San Francisco,CA,37.771,-122.413,2015-11-25,2015-11-23 04:23:33,Amazon Local,,,$25 to Spend on Comfort Food and Drinks at Butter,"Featured on The Travel Channel and in  SF Weekly , Butter has made a name for itself with its creative, satisfying comfort food. Whether it's deep-fried, nuked in the microwave, or poured from a sophisticated 16-ounce can, everything at Butter hits the spot.   $12 for $25 to spend on food and drink  Deep-fried PBJ, mozzarella sticks. even Twinkies  White Castle burgers, Beanie Weenies, and Frito Pie, just like you remember from childhood  PBR tallboys, cocktails with Tang or Sunny Delight, and much more to slake your thirst   Butter:  Website  |  Menu",25,12,52,13,". p. /p. ul. li. Limit 1 voucher per purchaser; additional 1 voucher may be sent as a gift. br. /li. li. Limit 1 voucher redemption per individual. br. /li. li. Limit 1 per table per visit. br. /li. li. Valid only for dine-in. br. /li. li. Valid from 6 p. m. 2 a. m. on Wednesday and Thursday, from 8 p. m. 2 a. m. on Sunday, and from 6. 9 p. m. on Friday and Saturday. br. /li. li. Closed on Mondays and Tuesdays. br. /li. li. Discount apportioned among all items purchased. No item provided free. br. /li. li. Entire value must be used in a single visit. br. /li. li. Available for use beginning the day after purchase. br. /li. li. PROMOTIONAL VALUE EXPIRES 180 DAYS FROM THE PURCHASE DATE. br. /li. li. PAID VALUE DOES NOT EXPIRE. br. /li. /ul. p. /p.",50,http://www.8coupons.com/discounts/butter-san-francisco-94103,http://g-ecx.images-amazon.com/images/G/01/ember/deals/41d27c122d6959bd9296bcb860bfae6663935169f5c68a16da4387fda820,http://www.8coupons.com/image/deal/12673689/featured,http://www.8coupons.com/image/deal/12673689
14030741,http://www.8coupons.com/apiout/showdeal/deal/14030741/3449003/aff,Izakaya Roku,415.861.6500,http://www.rokusf.com/,1819 Market St.,San Francisco,CA,37.7713,-122.424,2015-11-25,2015-11-23 05:30:35,Travelzoo,,,$25 -- &'Sleek&' Izakaya Roku: 50% Off Dinner & Drinks for 2 ,"Order anything off the tapas-style menu at the Market Street spot, including drinks   Recommended by The New York Times   Travelzoo members praise the ""creative"" cuisine and ""excellent"" service    Zagat  calls it ""classic Japanese street food"" that ""packs a delicious punch""   Rated 4 stars on Yelp   Oct. 1, 2015 - Feb. 25, 2016; Tuesday-Sunday (closed Mondays)  ]].",50,25,50,25,". ![CDATA[. b. Redeem starting Oct. 1, 2015;. /b. valid Tuesday-Sunday during merchant's operating hours (closed Mondays). b. . /b. Reservations required; subject to availability. Call 415-861-6500 to make a reservation;. b.  OpenTable and Yelp reservations are not accepted. /b.  Upon arrival, present printed voucher or display in Travelzoo mobile app.  Tax, if applicable, and gratuity are not included. Please tip on the full value; 18-20% is customary for good service. ]].",50,http://www.8coupons.com/discounts/izakaya-roku-san-francisco-94103,http://www.tzoo-img.com/images/tzoo.hd.74993.0.166885.asiancuisine.jpg?v=1&width=514,http://www.8coupons.com/image/deal/14030741/featured,http://www.8coupons.com/image/deal/14030741
13011725,http://www.8coupons.com/apiout/showdeal/deal/13011725/3449003/aff,Indian Oven Restaurant,415.626.1628,,233 Fillmore St.,San Francisco,CA,37.7717,-122.431,2015-11-25,2015-11-23 04:23:26,Amazon Local,,,$16 to Spend at Indian Oven Restaurant,"At Indian Oven Restaurant, you can watch as their talented chefs prepare an authentic Indian meal for you. Located in the Lower Haight, this restaurant uses a clay oven to cook their delicious traditional dishes to give you the most flavorful food.   $8 for $16 to spend on food and drink  Lamb, chicken, seafood, and other kinds of tandoori  Vegetarian options available   Indian Oven Restaurant:  Website  |  Menu",16,8,50,8,". ul. li. Limit 1 voucher per purchaser; additional 1 voucher may be sent as a gift. br. /li. li. Limit 1 voucher redemption per individual. br. /li. li. Limit 1 voucher per table per visit. br. /li. li. Valid only after 2:30 p. m. br. /li. li. Reservations are required and subject to availability. Merchant cancellation/rescheduling policy of 24 hours applies; voucher subject to forfeiture. br. /li. li. Excludes happy hour, takeout, and delivery. br. /li. li. Not valid with other promotions or specials. br. /li. li. Discount apportioned among all items purchased. No item provided free. br. /li. li. Valid only at listed location. br. /li. li. Entire value must be used in a single visit. br. /li. li. Available for use immediately after purchase. br. /li. li. PROMOTIONAL VALUE EXPIRES 180 DAYS FROM THE PURCHASE DATE. br. /li. li. PAID VALUE DOES NOT EXPIRE. br. /li. /ul.",50,http://www.8coupons.com/discounts/indian-oven-restaurant-san-francisco-94117,http://g-ecx.images-amazon.com/images/G/01/ember/deals/6d0db202f3f2f63c67ee44464a387f146c2f97fa85dd1c9a6dac2d0d6,http://www.8coupons.com/image/deal/13011725/featured,http://www.8coupons.com/image/deal/13011725
11515721,http://www.8coupons.com/apiout/showdeal/deal/11515721/3449003/aff,Aroma Tea Shop,415.362.6588,,845 Washington Street,San Francisco,CA,37.7948,-122.408,2015-11-25,2015-11-23 04:23:30,Amazon Local,,,$40 to Spend at Aroma Tea Shop,"At Aroma Tea Shop, they believe drinking good, real tea all day long is like a little slice of heaven. Find your bliss with today's deal for rich, fragrant teas and products fit for tea lovers from this shop's Inner Richmond or Chinatown locations.    $20 for $40 to spend on tea and products   Hundreds of green, white, black, and herbal teas   Try their most popular tea, ""Blue People Oolong,"" with an amazingly sweet and lingering aftertaste you can't find anywhere else   Purists and connoisseurs, check out their Pu Erh teas: aged, complex, and with a host of potential health benefits   Find all types of tea accessories like a gaiwan, a porcelain cup with a lid used for brewing    Aroma Tea Shop:  Website",40,20,50,20,". ul. li. Limit 1 voucher per purchaser; additional 1 voucher may be sent as a gift. /li. li. Limit 1 voucher redemption per individual. /li. li. Entire value must be used in a single visit. /li. li. span style. ""color: initial;"". Available for use immediately after purchase. /span. br. /li. li. PROMOTIONAL VALUE EXPIRES 180 DAYS FROM THE PURCHASE DATE. /li. li. PAID VALUE DOES NOT EXPIRE. /li. /ul.",100,http://www.8coupons.com/discounts/aroma-tea-shop-san-francisco-94108-415-362-6588,http://g-ecx.images-amazon.com/images/G/01/ember/deals/5fbec2f66d9c582296ce371a2bdef7e9ef2f614b41b9e9780f78ae13b7610cf2,http://www.8coupons.com/image/deal/11515721/featured,http://www.8coupons.com/image/deal/11515721
14307525,http://www.8coupons.com/apiout/showdeal/deal/14307525/3449003/aff,Pica Pica Arepa Kitchen,415.400.5453,,401 Valencia St,San Francisco,CA,37.7664,-122.422,2015-11-25,2015-11-23 05:47:45,Gilt City,,,"Up to 34% Off Sangria, Arepas, Yuca Fries & More",One pitcher of sangria to share One order of yuca fries or taro chips to share One salad to share One cachapas to share One platter to share One dessert to share   Voucher is valid on full Pica Pica menu (excludes steak salad); please view menu tab for details,71,49,31,10,,50,http://www.8coupons.com/discounts/pica-pica-maize-kitchen-san-francisco-94103,http://cdn1.gilt.com/images/share/uploads/0000/0005/0424/504246172/orig.jpg,http://www.8coupons.com/image/deal/14307525/featured,http://www.8coupons.com/image/deal/14307525
12890951,http://www.8coupons.com/apiout/showdeal/deal/12890951/3449003/aff,Troya,415.563.1000,,2125 Fillmore St,San Francisco,CA,37.7894,-122.434,2015-11-25,2015-11-23 04:23:31,Amazon Local,,,$30 to Spend at Troya Mediterranean Kitchen,"Troya Mediterranean Kitchen brings a unique, modern approach to Turkish-inspired Mediterranean cuisine, offering local and organic ingredients as often as possible. Grab this deal and sample the delicious flavors of their expertly prepared dishes.     $15 for $30 to spend on food and drink at dinner, lunch, or brunch   Savory kebabs, Anatolian flatbreads, lavash wraps, and more   Vegetarian, vegan, and gluten-free options available   Offering an eclectic wine menu   Sleek, inviting atmosphere      Troya Mediterranean Kitchen:  Website  |  Menu",30,15,50,15,. ul. li. Limit 1 voucher per purchaser; additional 1 voucher may be sent as a gift. br. /li. li. Limit 1 voucher redemption per individual. br. /li. li. Limit 1 per table per visit. br. /li. li. Reservations are required and subject to availability. Merchant cancellation/rescheduling policy of 24 hours applies; voucher subject to forfeiture. br. /li. li. Entire value must be used in a single visit. br. /li. li. Valid only for option purchased. br. /li. li. Excludes holidays and happy hour. br. /li. li. Valid only for dine-in. br. /li. li. Discount apportioned among all items purchased. No item provided free. br. /li. li. Brunch is available on Saturday and Sunday from  11:30 a. m. to 3 p. m. br. /li. li. Valid only at listed location. br. /li. li. Available for use immediately after purchase. /li. li. PROMOTIONAL VALUE EXPIRES 180 DAYS FROM THE PURCHASE DATE. /li. li. PAID VALUE DOES NOT EXPIRE. /li. /ul.,50,http://www.8coupons.com/discounts/troya-san-francisco-94115,http://g-ecx.images-amazon.com/images/G/01/ember/deals/25dc4138695d5f54b7b47f227962b6e3ca1d7149ca0c38597d0d48380304f2b,http://www.8coupons.com/image/deal/12890951/featured,http://www.8coupons.com/image/deal/12890951
