id,name,is_closed,image_url,url,mobile_url,phone,display_phone,address,display_address,coordinate,review_count,categories,rating,rating_image_url,rating_image_url_small,rating_image_url_large,snippet_text,snippet_image_url
academy-bar-and-kitchen-san-francisco,Academy Bar & Kitchen,False,http://s3-media2.fl.yelpcdn.com/bphoto/9nuvic_Kp0XmLtmUBoGvMg/ms.jpg,http://www.yelp.com/biz/academy-bar-and-kitchen-san-francisco,http://m.yelp.com/biz/academy-bar-and-kitchen-san-francisco,4157751800,1-415-775-1800,1800 Fillmore St,1800 Fillmore St,"{u'latitude': 37.7861684493, u'longitude': -122.433223124}",14,Pizza,4.5,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,Came back for more (twice already!) and happy to report that the full menu is superb. I love how it changes slightly every time I am there to reflect the...,http://s3-media4.fl.yelpcdn.com/photo/fQqFN_eFiPFSGTckJpSlxQ/ms.jpg
brendas-french-soul-food-san-francisco,Brenda's French Soul Food,False,http://s3-media1.fl.yelpcdn.com/bphoto/mEzEYZ1lIM6mYfbKgHwCjw/ms.jpg,http://www.yelp.com/biz/brendas-french-soul-food-san-francisco,http://m.yelp.com/biz/brendas-french-soul-food-san-francisco,4153458100,1-415-345-8100,652 Polk St,652 Polk St,"{u'latitude': 37.7828800032, u'longitude': -122.41901817}",6754,Breakfast & Brunch,4.0,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,"Two words.  Crawfish beignets.

We came here for dinner, and to our dismay, saw a line out the door of people waiting.  It was just the two of us, and we...",http://s3-media3.fl.yelpcdn.com/photo/kr12e7YU4442oVko-4VGLA/ms.jpg
the-chairman-san-francisco-2,The Chairman,False,http://s3-media4.fl.yelpcdn.com/bphoto/ITHb2WpqRc0zb9MDT3d1Dg/ms.jpg,http://www.yelp.com/biz/the-chairman-san-francisco-2,http://m.yelp.com/biz/the-chairman-san-francisco-2,4158138800,1-415-813-8800,670 Larkin St,670 Larkin St,"{u'latitude': 37.7840223067, u'longitude': -122.417585179}",156,Asian Fusion,4.5,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,"I'm a huge Chairman truck fan so it was a real delight to see the brick and mortar location. It's a small shop tucked away in little Saigon, but worth the...",http://s3-media4.fl.yelpcdn.com/photo/wbFtfAhzEWfsUK-X1GJVfw/ms.jpg
rickybobby-san-francisco,Rickybobby,False,http://s3-media4.fl.yelpcdn.com/bphoto/lR6WgQS8psRW_ItTHv69oQ/ms.jpg,http://www.yelp.com/biz/rickybobby-san-francisco,http://m.yelp.com/biz/rickybobby-san-francisco,4159631713,1-415-963-1713,400 Haight St,400 Haight St,"{u'latitude': 37.7723414, u'longitude': -122.4288001}",497,American (New),4.0,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,"Loved it. 
Low key. 
Extremely casual, laid back but super chill.

Expect good, home cooked, comfort food.

We ordered beers, sweet potato tots, spicy fried...",http://s3-media2.fl.yelpcdn.com/photo/oiAhff6vt6qxNGIWDOL5oA/ms.jpg
whitechapel-sf-san-francisco,Whitechapel SF,False,http://s3-media3.fl.yelpcdn.com/bphoto/DGI045IssTVPJoxP8Vtkcg/ms.jpg,http://www.yelp.com/biz/whitechapel-sf-san-francisco,http://m.yelp.com/biz/whitechapel-sf-san-francisco,4152925800,1-415-292-5800,600 Polk St,600 Polk St,"{u'latitude': 37.7824077817, u'longitude': -122.418771721}",46,American (New),3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,"Went for the first time Friday night and was thoroughly impressed, this is definitely one of my new favorite spots in the city. As soon as you walk in, you...",http://s3-media2.fl.yelpcdn.com/photo/FruqsqA5i2rWQLzVVaaz-Q/ms.jpg
the-flying-falafel-san-francisco-3,The Flying Falafel,False,http://s3-media3.fl.yelpcdn.com/bphoto/jlzz6k3zJX0ypKpOwXn6iQ/ms.jpg,http://www.yelp.com/biz/the-flying-falafel-san-francisco-3,http://m.yelp.com/biz/the-flying-falafel-san-francisco-3,4159641003,1-415-964-1003,1051 Market St,1051 Market St,"{u'latitude': 37.7812488, u'longitude': -122.411304}",389,Falafel,4.5,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,"A small charm on dirty Market street ,The falafel was great pita bread stuffed with all the goodies toped with yummy tahini 
Staff very friendly and they...",http://s3-media3.fl.yelpcdn.com/photo/dzOZDSSaz5A-ysA_nHQruA/ms.jpg
chez-maman-west-san-francisco-2,Chez Maman West,False,http://s3-media3.fl.yelpcdn.com/bphoto/CaeMgzyLlE83jqYNrhKTrQ/ms.jpg,http://www.yelp.com/biz/chez-maman-west-san-francisco-2,http://m.yelp.com/biz/chez-maman-west-san-francisco-2,4153559067,1-415-355-9067,401 Gough St,401 Gough St,"{u'latitude': 37.7769302262, u'longitude': -122.423146543}",575,French,4.0,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,Came here on a Thursday for lunch because I was looking for a place to eat alone. I've had this place bookmarked for a while and decided to come by. The...,http://s3-media3.fl.yelpcdn.com/photo/EVztN1Lqm_3KzindVmblJw/ms.jpg
rustys-southern-san-francisco,Rusty's Southern,False,http://s3-media1.fl.yelpcdn.com/bphoto/PePiC0SuSSlZBafPdJklvg/ms.jpg,http://www.yelp.com/biz/rustys-southern-san-francisco,http://m.yelp.com/biz/rustys-southern-san-francisco,4156386974,1-415-638-6974,750 Ellis St,750 Ellis St,"{u'latitude': 37.7844, u'longitude': -122.41855}",175,Southern,4.5,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,"I am from the south and good southern food is rare in the Bay Area. Rusty's has it!

They give you complimentary boiled peanuts!
We started with hush...",http://s3-media4.fl.yelpcdn.com/photo/fznFgLgdC8L3M1PajsJ2fA/ms.jpg
hogwash-san-francisco,Hogwash,False,http://s3-media1.fl.yelpcdn.com/bphoto/UEuRNOQ-by3AyztO9msv_A/ms.jpg,http://www.yelp.com/biz/hogwash-san-francisco,http://m.yelp.com/biz/hogwash-san-francisco,4153615500,1-415-361-5500,582 Sutter St,582 Sutter St,"{u'latitude': 37.7891754, u'longitude': -122.4099292}",265,Gastropubs,4.5,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,"Hogwash blew me away!

After searching on Yelp for an early dinner, my partner and I ended up here. We waited outside during their closed period until they...",http://s3-media3.fl.yelpcdn.com/photo/Z4MSz_zqWeKnj9ANbTKv5A/ms.jpg
nani-san-francisco,Nani,False,http://s3-media3.fl.yelpcdn.com/bphoto/rpjZfKq62pjs3X7dolZvyw/ms.jpg,http://www.yelp.com/biz/nani-san-francisco,http://m.yelp.com/biz/nani-san-francisco,4159687262,1-415-968-7262,,SoMa,,28,Indian,5.0,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/f1def11e4e79/ico/stars/v1/stars_5.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/c7623205d5cd/ico/stars/v1/stars_small_5.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/22affc4e6c38/ico/stars/v1/stars_large_5.png,"yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum
so clean. so fresh. so normal.
rotis - to die for!
I ordered...",http://s3-media1.fl.yelpcdn.com/photo/u2xuHi7waJ4THOFaUPYKZQ/ms.jpg
